,,,,,,,
,リスト内の単語について補足,,,,,,リスト内の簡易検索機能（シートを入力した単語で検索）
,"・プロファイル・・・もちふぃった～でアバターの対応衣装を変換する際に必須となるデータ
・アバター購入履歴よりDL・・・Booth内のアバターを購入した履歴からプロファイルをDLして入手する場合の記載（アバター所有者しかプロファイルはDL出来ません）
・Boothにて配布中・・・BoothのURL先でプロファイルをDLすることが出来る場合の記載（アバター購入していなくてもプロファイルをDL出来ます）
・両方向対応・・・AアバターからBアバターへの衣装の変換を相互に可能な状態（例：他のアバターの対応衣装→ベリル／ベリルの対応衣装→他のアバター どちらも可能）
・順方向のみ対応・・・AアバターからBアバターへの衣装の変換のみが可能な状態（例：他のアバターの対応衣装→ベリル のみ可能）",,,,,,PC：Ctrl + Fで簡易検索の機能の表示がされます（右上）
,,,,,,,
,もちふぃった～ プロファイル 女性アバター公式 対応済みリスト（11/25 時点 対応アバター数 246）※誤りがあれば教えて下さい,,,,,,
,,アバター名称,アバター販売 ショップ名,プロファイル配布方法,プロファイル配布 URL,変換対応状況（不明な場合※順方向のみ対応記載）,メモ
,1,ベリル,Nine Gates,もちふぃった～に同梱,,両方向対応,ベリルちゃんにもちふぃった～が同梱されています
,2,桔梗,ポンデロニウム研究所,もちふぃった～に同梱,,両方向対応,
,3,しなの,,,,両方向対応,
,4,マヌカ,STUDIO JINGO,もちふぃった～に同梱,,両方向対応,
,5,Lasyusha ラシューシャ,Keenoo,Boothにて配布中,https://keenooshop.booth.pm/items/4825073,両方向対応,
,6,Marycia マリシア,BeroarN,アバター購入履歴よりDL,,順方向のみ対応,
,7,シャルメ,Eastern Wind,"共通素体EF Body用プロファイル
アバター購入履歴よりDL",,※順方向のみ対応,
,8,冬葵,,,,,
,9,シャーレン,,,,,
,10,千理,,,,,
,11,ネフェリサ,,,,,
,12,焔花,,,,,
,13,弐番 -NIBAN-,AVAKIN',アバター購入履歴よりDL,,※順方向のみ対応,
,14,プレッツェル,,,,※順方向のみ対応,プレッツェルの購入履歴からNIBANのFBXを別途DLしてUnityへインポートが必要
,15,愛狼 -Melow-,,"共通素体用プロファイル
Boothにて配布中",https://avakin.booth.pm/items/6218001,※順方向のみ対応,
,16,うろぼ -urobo-,,,https://avakin.booth.pm/items/6406377,,
,17,バニラ -Vanilla-,,,https://avakin.booth.pm/items/5839326,,
,18,スピルバ -Spielber-,,,https://avakin.booth.pm/items/6119302,,
,19,イトネ -itone-,,,https://avakin.booth.pm/items/6333504,,
,20,びしょぬれのしずくさん,KUROMARU9,Boothにて配布中,https://kuromaru9.booth.pm/items/3828632,両方向対応,アバター販売ページにてプロファイルDL
,21,バナナのばななちゃん,,,https://kuromaru9.booth.pm/items/2411814,両方向対応,アバター販売ページにてプロファイルDL
,22,かんぺきメイドメロトロン,KUROMARU9,"共通素体MARUBODY用プロファイル
Boothにて配布中",https://kuromaru9.booth.pm/items/7552195,両方向対応,"・共通素体MARUBODY
１．Booth アバター販売と別のページにてプロファイル配布中
２．アバター購入履歴よりプロファイルと別にMochiFitter用参照素体を別途DLが必要"
,23,キルサイク,VERMILION .Studio,,,,
,24,レティニア & レティニエッタ,AugmentedDoll,,,,
,25,大神ララン,ストレイ・ラム,,,,
,26,イェーナ,,,,,
,27,ルキフェル,なっふな堂,,,,
,28,リセ,Re:Gista,,,,
,29,ネミア,ROKO SHOP,,,,
,30,むんき -Munkki -,なんか作ろうよ,,,,
,31,ペティニィ,もくもくねどこ,,,,
,32,NO.3,FLASTORE,"共通素体Bodyset2用プロファイル
Boothにて配布中",https://flastore.booth.pm/items/7611477,※順方向のみ対応,"・共通素体Bodyset2
変換後に原点とスケールを合わせる作業が別途必要
以下が衣装の着せ替え方法についてのtipsです
https://docs.google.com/document/d/1sJfeiRs5E6JC_96LtPDEM3cvWmnNPh-i3LUqnwcNZQU/edit?tab=t.0"
,33,フェイロン v3,,,,,
,34,Shery v2,,,,,
,35,鳴耶,,,,,
,36,Nio v2,,,,,
,37,Rono,,,,,
,38,スヴァルトリリヤ,,,,,
,39,セレニウム,,,,,
,40,ミュオン,,,,,
,41,Warabi,,,,,
,42,Wolfram,,,,,
,43,Nemo,,,,,
,44,水鏡祈,再生産紙＆だらけぐま,,,,
,45,スピカ,わこーのあとりえ,"全アバター共通データ
BoothページにDLリンクあり",https://wakonoatorie.booth.pm/items/1808374,順方向のみ対応,
,46,ミラ,,,https://wakonoatorie.booth.pm/items/2140459,,
,47,ユウ,,,https://wakonoatorie.booth.pm/items/2417889,,
,48,リル,,,https://wakonoatorie.booth.pm/items/3092723,,
,49,ミル,,,https://wakonoatorie.booth.pm/items/3413206,,
,50,ティナ,,,https://wakonoatorie.booth.pm/items/4074925,,
,51,レイ,,,https://wakonoatorie.booth.pm/items/4360868,,
,52,リリカ,,,https://wakonoatorie.booth.pm/items/4897562,,
,53,にな,,,https://wakonoatorie.booth.pm/items/5268564,,
,54,はるか,,,https://wakonoatorie.booth.pm/items/5859318,,
,55,サラ,,,https://wakonoatorie.booth.pm/items/6311566,,
,56,もも,,,https://wakonoatorie.booth.pm/items/7108322,,
,57,アングラの子,KUYUYU / 電脳屋,"作者様Xにて
DLリンクのポストあり",https://x.com/dennou404/status/1982339642990141893,両方向対応,A0XBody A1XBody 対応
,58,アノネ,,,,両方向対応,A0XBody A1XBody A05Body 対応
,59,クロダ,,,,両方向対応,A0XBody A1XBody A05Body 対応
,60,ALTGARAGE,,,,両方向対応,A0XBody A1XBody A05Body 対応
,61,龍のヨルちゃん,,,,両方向対応,A1XBody B01Body 対応
,62,ヘルベチカ,,,,両方向対応,A0XBody A1XBody A06Body 対応
,63,かなずちちゃん,,,,順方向のみ対応,
,64,Moose,,,,順方向のみ対応,
,65,ホライズ -Horiz-,寺井カントリー / Terai Country,アバター購入履歴よりDL,,順方向のみ対応,
,66,ファルリア -Falria-,,,,順方向のみ対応,
,67,ハーミット -Hermit-,,,,順方向のみ対応,
,68,望身 -Nozomi-,,,,順方向のみ対応,
,69,ねこめいつ -Nekomates-,,,,順方向のみ対応,
,70,ヌーヴェル -Nouvelle-,,,,順方向のみ対応,
,71,ニクス -Nix-,,,,順方向のみ対応,
,72,なのでび -Nanodevi-,,,,順方向のみ対応,
,73,EMISTIA -エミスティア-,SKYMY Workshop,アバター購入履歴よりDL,,※順方向のみ対応,
,74,YRISPHERE -ユリスフィア-,,,,※順方向のみ対応,
,75,CURISHIA - キュリシア -,,,,※順方向のみ対応,
,76,LIMILIA -リミリア-,,,,※順方向のみ対応,
,77,ERUQYUNA2 - エルキュナ2 -,,,,※順方向のみ対応,
,78,MIKOMIA - ミコミア -,,,,※順方向のみ対応,
,79,ラズロッテ -Lazlotte-,Fanatail,Boothにて配布リンクあり,https://teaf.booth.pm/items/2186253,※順方向のみ対応,
,80,チオ -Thio-,,,https://teaf.booth.pm/items/3445873,※順方向のみ対応,
,81,ロックローズ -Rockrose-,,,https://teaf.booth.pm/items/4054324,※順方向のみ対応,
,82,翠嵐 -Suiran-,,,https://teaf.booth.pm/items/4926106,※順方向のみ対応,
,83,マトカ -Matka-,,,https://teaf.booth.pm/items/6868371,※順方向のみ対応,
,84,心-556,仮想VoidCat,Boothにて配布中,https://yueou.booth.pm/items/3160480,※順方向のみ対応,
,85,サフィー-Sapphy-,,,https://yueou.booth.pm/items/3939858,※順方向のみ対応,アバター販売ページにてプロファイルDL
,86,ルフィナ-Rufina-,,,https://yueou.booth.pm/items/4670579,※順方向のみ対応,アバター販売ページにてプロファイルDL
,87,ペルラ -Perula-,,,https://yueou.booth.pm/items/5565569,※順方向のみ対応,アバター販売ページにてプロファイルDL
,88,ルリエ -Lurie-,,,https://yueou.booth.pm/items/7427949,※順方向のみ対応,アバター販売ページにてプロファイルDL
,89,溟々のリモジール,レメゲトン,アバター購入履歴よりDL,,※順方向のみ対応,
,90,夜天のエリヌス,,,,※順方向のみ対応,
,91,弔鐘のミゼリエ,,,,※順方向のみ対応,
,92,月虹のエヴレース,,,,※順方向のみ対応,
,93,Izul -イズール- Remake,bikiTadpole,アバター購入履歴よりDL,,※順方向のみ対応,
,94,Elmina -エルミーナ-,,,,※順方向のみ対応,
,95,Seraphina -セラフィナ-,,,,※順方向のみ対応,
,96,Miroir -ミロワール- Remake,,,,※順方向のみ対応,
,97,藍子さん AIKOSAN,NEKOKAREYA,"共通素体 Kuminbody用プロファイル
Boothにて配布中",https://nekokaerya.booth.pm/items/7643644,順方向のみ対応,
,98,アザミさん AZAMISAN,,,,,
,99,ユーネ,イルファ商店街,,,,
,100,ベニちゃん,イルファ商店街,Boothにて配布中,https://teicifer9999.booth.pm/items/7631172,両方向対応,
,101,ガヴ,はてな商店はなぞの店,"共通素体用プロファイル
Boothにて配布中",https://booth.pm/ja/items/7663206,順方向のみ対応,
,102,ネム,,,,,
,103,ラウラ,,,,,
,104,プティシラ,,,,,
,105,シィル-Ciel-,りすきーしょっぷ,Boothにて配布リンクあり,https://rikyuvrc.booth.pm/items/5600327,※順方向のみ対応,
,106,るぅ-Ruu-,,,https://rikyuvrc.booth.pm/items/5767548,※順方向のみ対応,
